resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,dem_agegrp_iwdate_x,sample_region,inc_totmiss40,relig_church,dem_edu,pid_self,libcpre_self,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,knowl_senmaj_f,knowl_housemaj_f,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,soph
4,2,2,1,1,0,0,1,1,1,8,3,2,1,10,3,6,50,1,4,2,1,3,1,Correct,Correct,Disagree,Agree,Agree,Agree Strongly,0.6
4,4,4,2,1,1,1,1,1,1,13,4,1,2,14,1,2,50,1,4,2,2,2,2,Correct,Correct,Disagree,Disagree,Disagree,Agree,1
4,2,4,4,1,1,0,1,1,2,13,4,1,2,95,1,2,85,1,2,2,4,4,2,Correct,Correct,Disagree,Agree,Disagree,Disagree,0.8
3,2,4,3,1,1,1,1,1,1,2,4,2,2,10,3,4,50,2,5,3,4,4,3,Correct,Correct,Neither,Agree,Disagree,Neither,1
5,5,1,1,1,1,0,0,1,1,8,3,1,2,9,1,7,70,1,2,5,1,1,4,Incorrect,Correct,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,0.6
5,4,3,1,1,1,0,1,1,2,12,2,1,1,9,1,4,85,1,2,2,2,5,1,Correct,Correct,Disagree Strongly,Disagree,Neither,Agree Strongly,0.8
2,2,2,2,1,1,0,1,1,1,10,1,2,2,9,3,4,60,1,2,2,5,4,1,Correct,Correct,Agree,Agree,Agree,Agree,0.8
2,2,4,4,1,0,1,1,1,1,11,4,1,2,14,1,2,85,1,3,2,5,5,1,Correct,Correct,Agree,Agree,Disagree,Disagree,0.8
4,3,3,2,1,1,0,1,1,2,10,4,1,1,10,1,4,40,1,2,2,3,2,3,Correct,Correct,Disagree,Neither,Neither,Agree,0.8
4,3,2,2,1,1,0,1,1,2,9,1,1,2,9,1,4,70,2,2,2,2,4,2,Correct,Correct,Disagree,Neither,Agree,Agree,0.8
4,2,2,4,1,0,0,1,0,2,10,1,1,1,9,1,4,50,1,2,2,4,2,2,Correct,Incorrect,Disagree,Agree,Agree,Disagree,0.4
4,2,3,3,1,1,1,1,1,1,6,1,1,2,16,3,5,50,1,4,2,3,2,3,Correct,Correct,Disagree,Agree,Neither,Neither,1
4,4,2,1,1,1,1,1,1,1,13,1,2,1,10,3,6,100,4,2,5,1,2,3,Correct,Correct,Disagree,Disagree,Agree,Agree Strongly,1
4,2,4,2,1,1,1,1,1,2,13,1,2,1,13,3,6,70,2,4,2,4,4,2,Correct,Correct,Disagree,Agree,Disagree,Agree,1
4,4,2,2,1,1,0,1,1,1,13,1,2,1,9,3,6,50,2,2,4,3,2,3,Correct,Correct,Disagree,Disagree,Agree,Agree,0.8
5,4,2,2,1,0,0,1,1,1,9,1,2,1,10,3,5,50,2,2,4,2,4,2,Correct,Correct,Disagree Strongly,Disagree,Agree,Agree,0.6
3,4,2,2,1,1,1,1,1,1,13,3,1,1,15,2,5,50,2,2,4,4,2,2,Correct,Correct,Neither,Disagree,Agree,Agree,1
5,4,1,1,1,0,1,0,0,2,11,3,1,1,10,3,6,85,3,2,1,1,4,1,Incorrect,Incorrect,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,0.4
1,1,5,2,1,1,0,1,1,1,7,1,1,2,10,1,3,85,1,4,1,5,5,1,Correct,Correct,Agree Strongly,Agree Strongly,Disagree Strongly,Agree,0.8
2,5,1,2,0,0,0,0,1,2,13,1,2,1,9,1,6,100,1,5,1,1,5,1,Incorrect,Correct,Agree,Disagree Strongly,Agree Strongly,Agree,0.2
4,3,1,1,0,0,0,1,0,2,7,4,2,1,4,1,6,10,1,1,1,1,4,1,Correct,Incorrect,Disagree,Neither,Agree Strongly,Agree Strongly,0.2
2,2,5,3,0,0,0,0,1,2,13,4,1,1,14,3,4,60,2,4,2,2,4,3,Incorrect,Correct,Agree,Agree,Disagree Strongly,Neither,0.2
2,4,5,1,1,0,1,0,1,2,13,3,2,2,13,2,7,85,1,2,5,1,4,2,Incorrect,Correct,Agree,Disagree,Disagree Strongly,Agree Strongly,0.6
3,2,3,2,1,1,0,1,1,2,13,3,1,2,14,2,6,100,1,3,2,2,4,2,Correct,Correct,Neither,Agree,Neither,Agree,0.8
2,1,4,4,1,1,0,1,1,2,8,3,2,1,9,1,2,85,2,5,5,5,4,2,Correct,Correct,Agree,Agree Strongly,Disagree,Disagree,0.8
2,5,5,1,1,1,0,0,1,1,9,2,2,2,10,1,1,100,1,5,2,4,5,2,Incorrect,Correct,Agree,Disagree Strongly,Disagree Strongly,Agree Strongly,0.6
1,1,5,4,1,1,1,1,1,2,13,2,1,2,8,2,7,50,1,5,4,4,5,1,Correct,Correct,Agree Strongly,Agree Strongly,Disagree Strongly,Disagree,1
4,4,2,1,1,1,1,1,1,2,7,3,1,1,10,3,4,85,2,4,4,5,2,2,Correct,Correct,Disagree,Disagree,Agree,Agree Strongly,1
1,1,1,2,0,0,0,1,0,2,2,1,2,1,8,3,6,100,1,2,1,2,5,5,Correct,Incorrect,Agree Strongly,Agree Strongly,Agree Strongly,Agree,0.2
4,2,1,2,1,0,0,1,1,2,10,2,2,2,8,2,6,85,1,2,5,1,5,1,Correct,Correct,Disagree,Agree,Agree Strongly,Agree,0.6
4,3,1,1,1,1,0,1,1,1,12,3,2,1,9,2,5,50,1,2,4,3,2,2,Correct,Correct,Disagree,Neither,Agree Strongly,Agree Strongly,0.8
4,2,5,4,1,1,0,1,1,1,4,1,1,1,12,1,3,100,1,5,1,4,4,2,Correct,Correct,Disagree,Agree,Disagree Strongly,Disagree,0.8
4,2,2,1,1,1,1,1,1,1,9,1,2,1,10,2,6,85,1,2,2,3,5,2,Correct,Correct,Disagree,Agree,Agree,Agree Strongly,1
1,1,5,5,1,0,0,1,0,2,2,1,2,2,10,1,2,70,1,5,1,5,4,1,Correct,Incorrect,Agree Strongly,Agree Strongly,Disagree Strongly,Disagree Strongly,0.4
2,2,2,2,1,1,0,1,1,1,7,3,2,1,11,1,3,100,1,5,1,5,5,1,Correct,Correct,Agree,Agree,Agree,Agree,0.8
3,3,3,3,1,1,1,1,1,1,11,4,1,2,8,3,7,50,1,1,5,1,1,5,Correct,Correct,Neither,Neither,Neither,Neither,1
1,1,5,5,1,1,0,1,1,2,3,3,2,1,10,1,4,70,1,4,1,1,5,2,Correct,Correct,Agree Strongly,Agree Strongly,Disagree Strongly,Disagree Strongly,0.8
2,2,2,4,1,0,0,0,0,2,7,3,2,1,11,1,1,100,3,2,4,2,2,2,Incorrect,Incorrect,Agree,Agree,Agree,Disagree,0.2
2,2,2,2,0,0,0,0,0,2,4,3,2,1,9,3,1,100,2,1,1,1,4,2,Incorrect,Incorrect,Agree,Agree,Agree,Agree,0
3,1,2,2,1,0,0,0,1,1,3,3,2,1,10,1,6,100,3,3,1,1,5,3,Incorrect,Correct,Neither,Agree Strongly,Agree,Agree,0.4
4,5,1,1,1,0,0,1,0,1,13,3,2,1,9,2,4,20,1,4,5,4,3,3,Correct,Incorrect,Disagree,Disagree Strongly,Agree Strongly,Agree Strongly,0.4
5,1,1,1,1,1,0,1,1,1,12,3,2,2,10,3,7,50,1,1,4,5,2,2,Correct,Correct,Disagree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,0.8
2,2,3,3,1,0,0,0,1,2,5,4,1,2,13,1,3,70,1,4,2,4,5,2,Incorrect,Correct,Agree,Agree,Neither,Neither,0.4
1,1,4,5,1,1,1,0,0,2,7,4,1,1,13,1,6,100,1,5,1,5,5,1,Incorrect,Incorrect,Agree Strongly,Agree Strongly,Disagree,Disagree Strongly,0.6
3,2,3,1,1,1,0,1,1,2,13,4,2,1,9,3,7,70,1,2,4,2,2,2,Correct,Correct,Neither,Agree,Neither,Agree Strongly,0.8
2,2,4,4,1,0,1,1,1,2,13,3,2,2,13,1,3,70,2,4,2,4,5,1,Correct,Correct,Agree,Agree,Disagree,Disagree,0.8
3,2,4,2,0,1,0,0,1,1,13,4,2,1,13,1,3,50,2,4,2,4,4,2,Incorrect,Correct,Neither,Agree,Disagree,Agree,0.4
4,4,1,1,1,1,0,1,1,1,10,4,2,2,8,3,4,70,1,4,4,5,1,1,Correct,Correct,Disagree,Disagree,Agree Strongly,Agree Strongly,0.8
1,2,1,1,0,0,0,0,1,2,6,3,2,1,9,1,7,15,1,2,1,2,1,2,Incorrect,Correct,Agree Strongly,Agree,Agree Strongly,Agree Strongly,0.2
5,4,2,3,0,1,0,0,0,2,8,3,2,1,13,1,4,70,1,5,2,5,5,1,Incorrect,Incorrect,Disagree Strongly,Disagree,Agree,Neither,0.2
4,1,5,5,1,1,0,1,1,2,9,2,1,1,11,1,2,100,1,5,2,5,5,1,Correct,Correct,Disagree,Agree Strongly,Disagree Strongly,Disagree Strongly,0.8
5,4,1,1,1,1,0,1,1,2,12,1,2,2,9,2,6,60,1,1,3,1,2,2,Correct,Correct,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,0.8
5,2,2,1,1,0,0,0,1,1,13,3,2,1,8,1,2,85,1,5,1,5,2,1,Incorrect,Correct,Disagree Strongly,Agree,Agree,Agree Strongly,0.4
3,1,4,5,1,1,1,1,1,1,3,2,1,1,13,1,3,60,1,5,2,4,2,1,Correct,Correct,Neither,Agree Strongly,Disagree,Disagree Strongly,1
