resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,sample_region,relig_church,pid_self,paprofile_libcon_self,dem_edugroup_x,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,govrole_big,govrole_market,iwrdesc_pre_skintone,knowl_senmaj_f,knowl_housemaj_f,pid_dum_dem,female,south,soph,egal_scale,econ_indiv,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,resent_deserve_m,resent_try_m,resent_workway_m,resent_slavery_m,soph_cat
4,4,3,3,1,0,0,1,1,1,2,1,1,2,3,50,3,3,4,3,3,3,0,0,-1,Correct,Correct,1,0,0,0.6,0.7916666666666666,0,Disagree,Disagree,Neither,Neither,4,3,3,4,Med-High (0.5-0.75)
4,3,1,2,1,1,1,1,1,2,1,2,1,3,5,75,4,5,3,5,4,3,0,0,-1,Correct,Correct,1,1,0,1,1,0,Disagree,Neither,Disagree Strongly,Disagree,4,1,2,3,High (0.75-1)
5,4,2,2,1,1,0,1,1,1,4,2,1,5,2,70,5,5,3,4,4,3,0,0,-1,Correct,Correct,1,0,0,0.8,1,0,Disagree Strongly,Disagree,Disagree,Disagree,5,2,2,4,High (0.75-1)
5,5,3,5,1,1,1,1,1,1,1,1,2,6,4,50,3,2,2,2,3,2,1,0,-1,Correct,Correct,0,0,0,1,0.5833333333333334,0.5,Disagree Strongly,Disagree Strongly,Neither,Agree Strongly,5,3,5,5,High (0.75-1)
2,2,2,3,1,0,0,1,1,2,1,2,1,4,3,85,3,3,4,3,4,3,0,0,-1,Correct,Correct,1,1,0,0.6,0.8333333333333334,0,Agree,Agree,Disagree,Neither,2,2,3,2,Med-High (0.5-0.75)
3,5,3,3,1,0,0,0,1,2,2,1,1,4,3,75,3,3,4,3,3,5,0,0,-1,Incorrect,Correct,1,1,0,0.4,0.875,0,Neither,Disagree Strongly,Neither,Neither,3,3,3,5,Med-Low (0.25-0.5)
4,4,3,3,1,0,1,1,1,2,3,2,1,2,5,60,5,4,4,4,4,5,0,0,-1,Correct,Correct,1,1,1,0.8,1.0833333333333333,0,Disagree,Disagree,Neither,Neither,4,3,3,4,High (0.75-1)
5,5,5,5,1,0,0,1,1,1,1,1,2,6,3,15,1,1,4,1,1,2,1,1,-1,Correct,Correct,0,0,0,0.6,0.4166666666666667,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,5,5,5,5,Med-High (0.5-0.75)
3,3,3,3,0,0,0,0,1,1,1,1,2,4,2,43,3,3,3,3,3,3,0,0,-1,Incorrect,Correct,0,0,0,0.2,0.75,0,Neither,Neither,Neither,Neither,3,3,3,3,Low (0-0.25)
4,5,5,5,1,1,1,1,1,1,3,1,3,6,3,50,5,1,1,2,4,3,1,1,-1,Correct,Correct,0,0,1,1,0.6666666666666666,1,Disagree,Disagree Strongly,Agree Strongly,Agree Strongly,4,5,5,5,High (0.75-1)
