resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,sample_region,relig_church,pid_self,paprofile_libcon_self,dem_edugroup_x,dem_raceeth_x,dem_age_r_x,inc_incgroup_pre,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,govrole_big,govrole_market,paprofile_freqpolit_socmedia,knowl_senmaj_f,knowl_housemaj_f,pid_dum_dem,female,south,soph,egal_scale,econ_indiv,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,year,resent_deserve_m,resent_try_m,resent_workway_m,resent_slavery_m
5,5,3,5,1,1,1,1,1,1,1,1,2,6,4,1,44,25,50,3,2,2,2,3,2,1,0,4,Correct,Correct,0,0,0,1,0.4666666666666667,0.5,Disagree Strongly,Disagree Strongly,Neither,Agree Strongly,2012,5,3,5,5
4,4,3,3,1,0,1,1,1,2,3,2,1,2,5,1,57,11,60,5,4,4,4,4,5,0,0,5,Correct,Correct,1,1,1,0.8,0.8666666666666667,0,Disagree,Disagree,Neither,Neither,2012,4,3,3,4
5,5,5,5,1,0,0,1,1,1,1,1,2,6,3,1,68,21,15,1,1,4,1,1,2,1,1,2,Correct,Correct,0,0,0,0.6,0.3333333333333333,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
3,3,3,3,0,0,0,0,1,1,1,1,2,4,2,1,38,1,43,3,3,3,3,3,3,0,0,4,Incorrect,Correct,0,0,0,0.2,0.6,0,Neither,Neither,Neither,Neither,2012,3,3,3,3
4,5,5,5,1,1,1,1,1,1,3,1,3,6,3,1,60,22,50,5,1,1,2,4,3,1,1,5,Correct,Correct,0,0,1,1,0.5333333333333333,1,Disagree,Disagree Strongly,Agree Strongly,Agree Strongly,2012,4,5,5,5
3,2,2,3,1,1,1,1,1,1,3,1,2,6,2,1,69,14,90,4,3,3,3,3,4,1,1,3,Correct,Correct,0,0,1,1,0.6666666666666666,1,Neither,Agree,Disagree,Neither,2012,3,2,3,2
4,3,5,5,1,1,0,1,1,1,2,1,2,6,3,1,77,16,40,5,1,4,1,4,4,1,1,5,Correct,Correct,0,0,0,0.8,0.6333333333333333,1,Disagree,Neither,Agree Strongly,Agree Strongly,2012,4,5,5,3
3,3,3,3,1,0,0,1,1,1,4,2,3,4,3,1,44,21,50,3,3,3,3,3,3,1,1,4,Correct,Correct,0,0,0,0.6,0.6,1,Neither,Neither,Neither,Neither,2012,3,3,3,3
5,5,3,5,1,1,1,1,1,1,4,1,2,6,3,1,69,20,85,5,1,2,3,1,2,1,1,1,Correct,Correct,0,0,0,1,0.4666666666666667,1,Disagree Strongly,Disagree Strongly,Neither,Agree Strongly,2012,5,3,5,5
3,2,2,2,1,0,0,1,1,2,1,2,1,3,2,1,70,11,50,4,4,4,4,4,3,0,0,5,Correct,Correct,1,1,0,0.6,0.7666666666666667,0,Neither,Agree,Disagree,Disagree,2012,3,2,2,2
3,3,3,4,1,1,1,1,1,1,4,2,1,2,4,1,66,2,60,5,3,3,4,4,3,0,0,2,Correct,Correct,1,0,0,1,0.7333333333333333,0,Neither,Neither,Neither,Agree,2012,3,3,4,3
4,3,2,3,1,0,1,1,1,1,4,2,3,5,4,1,68,27,60,3,2,3,3,3,3,1,1,5,Correct,Correct,0,0,0,0.8,0.5666666666666667,1,Disagree,Neither,Disagree,Neither,2012,4,2,3,3
2,2,3,1,1,1,1,1,1,1,1,2,3,4,3,1,41,20,50,5,5,4,5,4,5,0,0,2,Correct,Correct,0,0,0,1,0.9333333333333333,0,Agree,Agree,Neither,Disagree Strongly,2012,2,3,1,2
5,5,3,4,1,1,1,1,1,1,3,2,2,6,3,1,41,20,100,3,3,1,4,3,4,1,1,4,Correct,Correct,0,0,1,1,0.6,1,Disagree Strongly,Disagree Strongly,Neither,Agree,2012,5,3,4,5
4,2,2,5,0,0,0,1,1,1,1,1,3,6,1,1,71,2,50,5,2,2,2,1,5,1,1,4,Correct,Correct,0,0,0,0.4,0.5666666666666667,1,Disagree,Agree,Disagree,Agree Strongly,2012,4,2,5,2
