Category: All categories

Month,Institutional racism: (United States)
2004-01,31
2004-02,0
2004-03,0
2004-04,57
2004-05,0
2004-06,0
2004-07,17
2004-08,0
2004-09,20
2004-10,0
2004-11,37
2004-12,25
2005-01,0
2005-02,42
2005-03,26
2005-04,18
2005-05,23
2005-06,15
2005-07,0
2005-08,0
2005-09,25
2005-10,40
2005-11,0
2005-12,26
2006-01,11
2006-02,35
2006-03,32
2006-04,38
2006-05,32
2006-06,25
2006-07,0
2006-08,8
2006-09,33
2006-10,26
2006-11,27
2006-12,31
2007-01,19
2007-02,18
2007-03,25
2007-04,34
2007-05,22
2007-06,0
2007-07,7
2007-08,5
2007-09,25
2007-10,27
2007-11,29
2007-12,28
2008-01,19
2008-02,18
2008-03,20
2008-04,43
2008-05,17
2008-06,17
2008-07,4
2008-08,0
2008-09,26
2008-10,21
2008-11,33
2008-12,21
2009-01,7
2009-02,24
2009-03,21
2009-04,32
2009-05,23
2009-06,12
2009-07,18
2009-08,5
2009-09,24
2009-10,32
2009-11,36
2009-12,28
2010-01,16
2010-02,19
2010-03,34
2010-04,36
2010-05,21
2010-06,13
2010-07,11
2010-08,9
2010-09,6
2010-10,27
2010-11,29
2010-12,23
2011-01,20
2011-02,21
2011-03,27
2011-04,23
2011-05,27
2011-06,14
2011-07,13
2011-08,9
2011-09,20
2011-10,29
2011-11,25
2011-12,25
2012-01,11
2012-02,27
2012-03,22
2012-04,19
2012-05,24
2012-06,12
2012-07,15
2012-08,14
2012-09,17
2012-10,29
2012-11,23
2012-12,22
2013-01,15
2013-02,24
2013-03,28
2013-04,31
2013-05,22
2013-06,17
2013-07,19
2013-08,12
2013-09,20
2013-10,37
2013-11,36
2013-12,37
2014-01,20
2014-02,24
2014-03,33
2014-04,39
2014-05,36
2014-06,22
2014-07,15
2014-08,31
2014-09,25
2014-10,40
2014-11,62
2014-12,62
2015-01,26
2015-02,37
2015-03,52
2015-04,66
2015-05,56
2015-06,51
2015-07,43
2015-08,32
2015-09,52
2015-10,68
2015-11,74
2015-12,59
2016-01,42
2016-02,70
2016-03,67
2016-04,63
2016-05,52
2016-06,33
2016-07,100
2016-08,52
2016-09,99
2016-10,96
2016-11,89
2016-12,66
2017-01,54
2017-02,82
2017-03,69
2017-04,74
2017-05,59
2017-06,38
2017-07,34
2017-08,57
2017-09,94
2017-10,93
2017-11,75
2017-12,64
2018-01,52
2018-02,75
2018-03,76
2018-04,68
2018-05,68
2018-06,37
2018-07,35
2018-08,34
2018-09,59
2018-10,76
2018-11,66
2018-12,60
2019-01,45
2019-02,74
2019-03,71
2019-04,71
2019-05,59
2019-06,42
2019-07,41
2019-08,36
2019-09,52
2019-10,63
2019-11,66
2019-12,48
2020-01,42
